PathwayIDs;PathwayNames;PathwayBackgroundNames;PathwaySizes;TargetSizes;IntersectionSize;BackgroundSizes;pValue;pAdjusted;Intersection
WP5087;Malignant pleural mesothelioma;WP_allPathways.gmt;436;1726;146;12378;3.591208229077277e-26;3.663032393658823e-24;ACTA2 AKT1 ANGPT1 ANGPT2 APC AREG ATF3 BAG2 BAK1 BAX BCL2 BDNF BECN1 BMI1 BRCA1 CASP1 CCL2 CCL4 CCL5 CCND1 CCND2 CCND3 CCNE1 CD44 CDH1 CDH11 CDH2 CDH24 CDK2 CDK4 CDKN1A CDKN2A COL4A2 COL4A6 CREB1 CSF1R CSF2 CSF3 CTHRC1 CTNNB1 CUL1 CXCL12 DDIT3 DKK1 E2F1 EGF EGFR EIF4B EIF4EBP1 EZH2 FABP4 FGF10 FGF8 FGFR3 FLT3 FN1 FOXO1 FZD1 FZD3 FZD5 FZD7 GSK3B HBEGF HGF HIF1A IGF1 IGF2 IL10 IL1B IL6 INS ITGA1 ITGA4 ITGA6 ITGAV ITGB1 ITGB2 ITPR3 JAK1 JUN KDR KIT KREMEN1 LAMA1 LAMA3 LAMB1 LAMC1 LGALS9 MAD2L1 MAP2K1 MAP2K2 MAP2K6 MAP3K1 MAP3K5 MAPK1 MAPK14 MAPK3 MAPKAPK2 MCL1 MDK MEF2D MET MMP2 MMP3 MMP9 MYC NDRG1 NFKB1 NTF3 NTRK1 NTRK2 PAK1 PAK3 PDGFRA PHC1 PIK3CB PIK3CD PIK3CG PLAU PODXL PTEN PTK2 RASSF2 RASSF4 RASSF5 RBBP4 RPS6KA1 RPS6KA3 RPS6KB1 SERPINF1 SFRP1 SLC7A5 SOX17 SP1 STAT1 TCF7L2 TERT TGFA TGFB1 TNNT1 TP53 UHRF1 ULK1 VEGFA WNT3 WNT5A
WP4298;Acute viral myocarditis;WP_allPathways.gmt;85;1726;45;12378;1.8006225343100467e-17;9.183174924981239e-16;AIF1 AKT1 BAX BCL2 BCL2L1 BID CASP1 CASP3 CASP6 CASP7 CASP8 CASP9 CCND1 CCR3 CD4 CD55 CREB1 CXCR4 DAG1 DFFA EDN1 EIF4G2 FYN GSK3B IFNG IL10 IL12A IL12B IL2 IL6 ITGAL ITGB2 JAK1 KRT8 MAPK1 MAPK3 MMP9 PARP1 PIK3R1 RAC2 STAT1 TGFB1 TLR3 TLR4 TNF
WP2447;Amyotrophic lateral sclerosis (ALS);WP_allPathways.gmt;38;1726;25;12378;2.999087209895425e-13;1.0196896513644444e-11;APAF1 BAD BAX BCL2 BCL2L1 BID CASP1 CASP3 CASP9 CST3 DERL1 GPX1 MAP2K2 MAP2K6 MAP3K5 MAPK14 NEFH NEFL NEFM PPP3CA SLC1A2 SOD1 TNF TNFRSF1A TP53
WP5053;Development of ureteric collection system;WP_allPathways.gmt;60;1726;28;12378;1.0027160524760986e-09;2.5569259338140514e-08;ANOS1 BMP2 BMP4 BMP7 BMPR2 CCND1 CELSR1 CTNNB1 EYA1 FOXC1 FRAS1 FREM1 GATA3 GDF11 GDNF GFRA1 ITGB1 LHX1 MYCN PBX1 RARA RARB RARG RET ROBO2 SHH TGFB2 WT1
WP4879;Overlap between signal transduction pathways contributing to LMNA laminopathies;WP_allPathways.gmt;57;1726;25;12378;3.743938148483142e-08;7.63763382290561e-07;APC BMP2 CDK4 CDKN1A CEBPA CEBPB CEBPD CREBBP CTNNB1 E2F1 GSK3B HES1 JUNB KAT2B NAP1L1 NOTCH1 PPARG RB1 RUNX2 SMAD2 SMAD3 SPP1 TCF7L2 TGFB1 TGFB2
WP5124;Alzheimer's disease;WP_allPathways.gmt;262;1726;69;12378;6.59276343917393e-08;1.120769784659568e-06;ADAM10 ADAM17 AKT1 APAF1 APC APOE APP ATF6 BACE1 BAD BECN1 BID CASP3 CASP7 CASP8 CASP9 CDK5R1 CTNNB1 CYBB DDIT3 DKK1 EIF2S1 FAS FZD1 FZD3 FZD5 FZD7 GAPDH GRIN1 GSK3B IL1A IL1B IL6 INS IRS2 ITPR1 ITPR2 ITPR3 LPL MAP2K1 MAP2K2 MAP3K5 MAPK1 MAPK3 MAPT MME NAE1 NFKB1 NOX4 PIK3CB PIK3CD PIK3R1 PPIF PPP3CA PSEN1 PSMC2 PSMC3 PTGS2 RELA SLC25A6 TNF TNFRSF1A TUBA4A TUBB3 ULK1 WIPI1 WNT3 WNT5A XBP1
WP3584;MECP2 and associated Rett syndrome;WP_allPathways.gmt;73;1726;28;12378;1.8806659384881565e-07;2.740398938939885e-06;AKT1 BDNF CDON CEBPD CNP CREB1 CSRP1 E2F1 EZH2 FKBP5 FUT8 GRIA3 GRIN1 IGF1 IGF2 MBP MEF2C MPP1 NF1 PSIP1 PTEN SGK1 SIN3A SMC3 SP1 SST TAP1 UBE3A
WP2059;Alzheimer's disease and miRNA effects;WP_allPathways.gmt;275;1726;70;12378;2.2230470967204365e-07;2.8343850483185567e-06;ADAM10 ADAM17 AKT1 APAF1 APC APOE APP ATF6 BACE1 BAD BECN1 BID CASP3 CASP7 CASP8 CASP9 CDK5R1 CTNNB1 CYBB DDIT3 DKK1 EIF2S1 FAS FZD1 FZD3 FZD5 FZD7 GAPDH GRIN1 GSK3B IL1A IL1B IL6 INS IRS2 ITPR1 ITPR2 ITPR3 LPL MAP2K1 MAP2K2 MAP3K5 MAPK1 MAPK3 MAPT MIR21 MME NAE1 NFKB1 NOX4 PIK3CB PIK3CD PIK3R1 PPIF PPP3CA PSEN1 PSMC2 PSMC3 PTGS2 RELA SLC25A6 TNF TNFRSF1A TUBA4A TUBB3 ULK1 WIPI1 WNT3 WNT5A XBP1
WP3995;Prion disease pathway;WP_allPathways.gmt;33;1726;17;12378;3.334909363391394e-07;3.779563945176913e-06;BCL11A BCL2 CASP3 CREB1 EP300 FYN HSPA5 MAPK1 MAPK3 MEF2C NCAM1 NFKB1 PRNP PTK2 RXRA SMC3 SPI1
WP4746;Thyroid hormones production and peripheral downstream signaling effects;WP_allPathways.gmt;92;1726;31;12378;1.2055053189604303e-06;1.229615425339639e-05;BAD CASP9 CREB3 CTNNB1 FOXO1 GSK3B ITGAV ITPR2 KDM1A MAP2K1 MAP4K5 MAPK1 MAPK14 MGLL NOTCH1 NPPB PAX8 PPARG RPS6KB1 RXRA SHH SLC16A10 SLC16A2 SLC5A5 TBC1D4 THRA THRB TP53 TPO TSHR TTF1
